product,total_quantity_sold,total_revenue,average_quantity_sold,average_revenue,number_of_records
MR Stuffed Red Chilli 500g,3.0,10.47,3.0,10.47,1
MR Lime Pickle Mild 500g,3.0,10.47,3.0,10.47,1
MR Pickle Lime Chill 500g,3.0,10.47,3.0,10.47,1
Bansi Ragi Murmura 340G,3.0,10.47,3.0,10.47,1
Alphonso Mango Cone Ice cream,3.0,10.47,3.0,10.47,1
Lion dates syrup 250gm,3.0,10.47,3.0,10.47,1
Mothers shahi paneer 50gm,7.0,10.43,7.0,10.43,1
Mothers Veg Biryani Mix 75g,7.0,10.43,7.0,10.43,1
Mothers Chicken 65,8.0,10.32,8.0,10.32,1
lord ganesh,2.0,10.0,2.0,10.0,1
Pooja Plate - 11,1.0,9.99,1.0,9.99,1
Ramdev Coriander Cumin Powder 800g,1.0,9.99,1.0,9.99,1
Kohinoor Brown Basmati 4Lb,1.0,9.99,1.0,9.99,1
Lakshmi Ganesh Idol,1.0,9.99,1.0,9.99,1
Pooja Dhoti Big,1.0,9.99,1.0,9.99,1
RAMDEV CHILLI POWDER EXTRA HOT 800g,1.0,9.99,1.0,9.99,1
Telugu Swetha Peanut Oil 1 Lit,1.0,9.99,1.0,9.99,1
BRAR'S KHOA PERA 350G,1.0,9.99,1.0,9.99,1
Pichhvai.,1.0,9.99,1.0,9.99,1
BRAR'S KAJU KATLI 350G,1.0,9.99,1.0,9.99,1
Dhupiya No -3,1.0,9.99,1.0,9.99,1
MODA Classic Kunefe,1.0,9.99,1.0,9.99,1
Mango / Box,1.0,9.99,1.0,9.99,1
Halwal With Cover No1,1.0,9.99,1.0,9.99,1
BRAR'S KHOA BARFI 350G,1.0,9.99,1.0,9.99,1
OORA NAATU CHICKEN PICKLE,1.0,9.99,1.0,9.99,1
PLASTIC BUCKET PRINTED,1.0,9.99,1.0,9.99,1
Ss Bowl # 14,1.0,9.99,1.0,9.99,1
Devam Pearl Millet 5Lb,1.0,9.99,1.0,9.99,1
Himalaya nourishing baby oil 200ml,2.0,9.98,2.0,9.98,1
REYNOLDS WRAP,2.0,9.98,2.0,9.98,1
Crunchy delight Ragi chikki 200g,2.0,9.98,2.0,9.98,1
Deep Mustard Seeds 400g,2.0,9.98,2.0,9.98,1
India Nat Coconut Milk Powder,2.0,9.98,2.0,9.98,1
Haldiram Aloo Tikki 420Gm,2.0,9.98,2.0,9.98,1
Telugu Ullavacharu,2.0,9.98,2.0,9.98,1
Dosa Batter Zanlyn 25Oz,2.0,9.98,2.0,9.98,1
Goya Crushed Tomatoes 28Oz,2.0,9.98,2.0,9.98,1
Quik Cafe Madras Coffee 10 Ct,2.0,9.98,2.0,9.98,1
Quiktea Masala Chai 10Ct 240G,2.0,9.98,2.0,9.98,1
Steel Rice Palta,2.0,9.98,2.0,9.98,1
Vatika Avocado Shampoo 425Ml,2.0,9.98,2.0,9.98,1
Balaji Tutti Fruity Yellow500G,2.0,9.98,2.0,9.98,1
PATLA PLAIN 4,2.0,9.98,2.0,9.98,1
Organic Tattva Cloves 100g,2.0,9.98,2.0,9.98,1
Reddy's Urad Gota 2LB,2.0,9.98,2.0,9.98,1
Manna Kodri Millet,2.0,9.98,2.0,9.98,1
Manna Little Millets 500G,2.0,9.98,2.0,9.98,1
National Garlic Paste 750g,2.0,9.98,2.0,9.98,1
Deep Ginger Powder 400Gm,2.0,9.98,2.0,9.98,1
meharban ginger paste 708g,2.0,9.98,2.0,9.98,1
DEEP BLACK RAISINS 14 OZ,2.0,9.98,2.0,9.98,1
Hawkins Pressure Cooker Gasket,2.0,9.98,2.0,9.98,1
Bournvita 500g,2.0,9.98,2.0,9.98,1
laxmi Frozen Sharbathi 20pcs,2.0,9.98,2.0,9.98,1
Chandan Sweety Imli,2.0,9.98,2.0,9.98,1
V Bhindi Whole Baby Okra 908G,2.0,9.98,2.0,9.98,1
Reddy's Moong dal 2LB,2.0,9.98,2.0,9.98,1
Laxmi Nutmeg Pwd 100G,2.0,9.98,2.0,9.98,1
Laxmi Respati Chilli 400Gm,2.0,9.98,2.0,9.98,1
Vadilal Veggie Nuggets 325g,2.0,9.98,2.0,9.98,1
Mdh Kashmiri Mirch 100g,4.0,9.96,4.0,9.96,1
Telugu Garlic Pickle 300G,4.0,9.96,4.0,9.96,1
Vadilal Gobi 312G,4.0,9.96,4.0,9.96,1
Jowar Fryums 200Gm,4.0,9.96,4.0,9.96,1
Telugsweetha Sesame Chikki Bar,4.0,9.96,4.0,9.96,1
WHITE CHALK,5.0,9.95,5.0,9.95,1
Sdp Pearl Millet Pasta,5.0,9.95,5.0,9.95,1
Telugu Rasam Powderr,5.0,9.95,5.0,9.95,1
Deep FuneGreek Seeds 200gm,5.0,9.95,5.0,9.95,1
Gazab Coriander Seeds,5.0,9.95,5.0,9.95,1
Premier turmeric whole 100g,5.0,9.95,5.0,9.95,1
Telugu Meat Masala 90G,5.0,9.95,5.0,9.95,1
Mdh Karahi Gosht 100Gm,5.0,9.95,5.0,9.95,1
Vadilal Vanilla Icecream 100ml,5.0,9.95,5.0,9.95,1
Garvi Gujarti Dry Samosa 285g,5.0,9.95,5.0,9.95,1
MDH Amchur powder,5.0,9.95,5.0,9.95,1
SDP BLACK KAVUNI RICE NOODLES,5.0,9.95,5.0,9.95,1
GZ THAI TEA 290ML,5.0,9.95,5.0,9.95,1
Deep Mustard Seeds - 200Gm,5.0,9.95,5.0,9.95,1
SHANA RED ONIONS 300G,5.0,9.95,5.0,9.95,1
Balaji Haldi 25g,5.0,9.95,5.0,9.95,1
Badshah Pani Puri Masala(100G),5.0,9.95,5.0,9.95,1
Adani Kumkum 100G,5.0,9.95,5.0,9.95,1
Bambino BUTTER MURUKU 170G,5.0,9.95,5.0,9.95,1
Gazab Edible 100G,5.0,9.95,5.0,9.95,1
Telugu Hyderabadi Veg Biryani 100g,5.0,9.95,5.0,9.95,1
Gazab Aloe Vera Strawberry,5.0,9.95,5.0,9.95,1
Shan Garam Masala 50Gm,5.0,9.95,5.0,9.95,1
Hajmola Regular 2.33Oz,5.0,9.95,5.0,9.95,1
Adani Sindhaloo Namak 200G,5.0,9.95,5.0,9.95,1
Adani Green Mukhwas 100Gm,5.0,9.95,5.0,9.95,1
Shan Stew/Dopiaza Mix(50G),5.0,9.95,5.0,9.95,1
Everest Jiralu Powder-100Gm,5.0,9.95,5.0,9.95,1
Priya Chilli Chicken Masala 50,10.0,9.95,10.0,9.95,1
Shan Kofta Curry Mix 50G,5.0,9.95,5.0,9.95,1
Plastic Tea Stainer,5.0,9.95,5.0,9.95,1
Parle Kreams Lemon 66.72g,10.0,9.9,10.0,9.9,1
Britannia Nutri Choice Choalo,10.0,9.9,10.0,9.9,1
Mothers Mango Pickle Mild 500g,2.0,9.48,2.0,9.48,1
Idli Batter Fresh,1.0,8.99,1.0,8.99,1
SS Coffee Filter # 6,1.0,8.99,1.0,8.99,1
Nescafe Classic 90 G,1.0,8.99,1.0,8.99,1
Shree Yantra Stand,1.0,8.99,1.0,8.99,1
GAzab Slivered Almond 400g,1.0,8.99,1.0,8.99,1
Jal Loti,1.0,8.99,1.0,8.99,1
barakat ajwa date 1lb,1.0,8.99,1.0,8.99,1
24 Mantra Brown Basmatirice2Lb,1.0,8.99,1.0,8.99,1
Murugan Photo (11* 9),1.0,8.99,1.0,8.99,1
Kawan Flakey Parata Fp,1.0,8.99,1.0,8.99,1
Dhupiya No - 3,1.0,8.99,1.0,8.99,1
Vadilal Malai Peda,1.0,8.99,1.0,8.99,1
Vadilal Khoa Mawa 341G,1.0,8.99,1.0,8.99,1
Swagat Phool Makhana,1.0,8.99,1.0,8.99,1
ORG TATTVA BLACK WHOLE URAD,1.0,8.99,1.0,8.99,1
Bowl 7,1.0,8.99,1.0,8.99,1
PIA HENNA HAIR BROWN,1.0,8.99,1.0,8.99,1
PIA HENNA HAIR COLOR,1.0,8.99,1.0,8.99,1
Mothers Carrot & Chili Pickle 500G,2.0,8.98,2.0,8.98,1
Cycle Sandal Puja Oil 500Ml,2.0,8.98,2.0,8.98,1
Deep Mixed Vegetables 2Lb,2.0,8.98,2.0,8.98,1
Aara Flax Seed 400G,2.0,8.98,2.0,8.98,1
Organic Tattva Cumin Powder 200gm,2.0,8.98,2.0,8.98,1
Mixed Vegetable Samosa 10pcs,2.0,8.98,2.0,8.98,1
Aara Red Chili 400G,2.0,8.98,2.0,8.98,1
Aara Chana Daliya/800Gm,2.0,8.98,2.0,8.98,1
Mtr Tomato Rice 250g,3.0,8.97,3.0,8.97,1
Gazab Corn Poha 400G,3.0,8.97,3.0,8.97,1
Ramdev Flax Seeds Whole 400g,3.0,8.97,3.0,8.97,1
Aachi Pani puri Masala 100gm,3.0,8.97,3.0,8.97,1
Ramdev Chilli powder Kashmiri 200g,3.0,8.97,3.0,8.97,1
Rehmat-e-shereen pheni,3.0,8.97,3.0,8.97,1
Ramdev Cinnamon Sticks Round 100g,3.0,8.97,3.0,8.97,1
Aachi Tomato rice 100gm,3.0,8.97,3.0,8.97,1
Vadilal Kulfi Pista 80ml,3.0,8.97,3.0,8.97,1
Indi Bites Aloo Paratha 4pcs,3.0,8.97,3.0,8.97,1
TIGER BALM RED 21ML,3.0,8.97,3.0,8.97,1
Vadilal Kulfi Mango 80Ml,3.0,8.97,3.0,8.97,1
Chef Choice Chia Seeds 200g,3.0,8.97,3.0,8.97,1
lx. punjabi choley 284gm,3.0,8.97,3.0,8.97,1
Aachi Spicy Sambar Powder 100g,3.0,8.97,3.0,8.97,1
Vadilal Panner Tikka Kathi roll 200gm,3.0,8.97,3.0,8.97,1
WHITE SPOONS 48 PCS,3.0,8.97,3.0,8.97,1
Viswas Mix Sambar 400g,3.0,8.97,3.0,8.97,1
Ramdev fryums Bhindi Cut 400g,3.0,8.97,3.0,8.97,1
Adani Garlic Powder 200G,3.0,8.97,3.0,8.97,1
Ramdev Chilli powder EXtra Hot 200g,3.0,8.97,3.0,8.97,1
SWAGAT SABUDHANA 2LB,3.0,8.97,3.0,8.97,1
Bansi Poha Thin 2Lb,3.0,8.97,3.0,8.97,1
Mtr Curry Rice 250g,3.0,8.97,3.0,8.97,1
dewan moong wadi 400g,3.0,8.97,3.0,8.97,1
Palmo innova Shaving Brush,3.0,8.97,3.0,8.97,1
Supercleaner 4 Pk,3.0,8.97,3.0,8.97,1
everest kutilal chilli 200g,3.0,8.97,3.0,8.97,1
eastern crave fried onion 400gm,3.0,8.97,3.0,8.97,1
Gazab Dry Appricot 100G,3.0,8.97,3.0,8.97,1
lx. bhindi masala 284 gm,3.0,8.97,3.0,8.97,1
Ramdev Fryums pipe 400g,3.0,8.97,3.0,8.97,1
Gazab Samo Moraiyo 400G,3.0,8.97,3.0,8.97,1
Mother's Sweet Chilli 500G,3.0,8.97,3.0,8.97,1
Mothers Avakaya Pickle 300gm,3.0,8.97,3.0,8.97,1
Fleischmanns Instant Yiest 21g,3.0,8.97,3.0,8.97,1
Gits Rte Dal Palak,3.0,8.97,3.0,8.97,1
Vadilal Surti Papdi 11Oz,3.0,8.97,3.0,8.97,1
Britannia Tiger 600Gm,3.0,8.97,3.0,8.97,1
Meharban Mango,3.0,8.97,3.0,8.97,1
Aara Mustard Seeds 400G,3.0,8.97,3.0,8.97,1
Parachute Jasmine Coconut Oil 190ml,3.0,8.97,3.0,8.97,1
Laxmi Yellow Dal Tadka 284g,3.0,8.97,3.0,8.97,1
Parachute Aloe Vera,3.0,8.97,3.0,8.97,1
Gazab Rock Sugar 400g,3.0,8.97,3.0,8.97,1
Reddy's Garam masala 200gm,3.0,8.97,3.0,8.97,1
Chettinad kodo Millet,3.0,8.97,3.0,8.97,1
Ramdev poha corn 800g,3.0,8.97,3.0,8.97,1
GAZAB MIX SHAPES FRYUMS 400G,3.0,8.97,3.0,8.97,1
laxmi fennel candy mukhwas 200g,3.0,8.97,3.0,8.97,1
Aachi Chicken Lollipop 100Gm,3.0,8.97,3.0,8.97,1
onion kachori,3.0,8.97,3.0,8.97,1
Kandi Podi 100G,6.0,8.94,6.0,8.94,1
Mothers Butter Chicken 80g,6.0,8.94,6.0,8.94,1
Mother Chicken Nawabi 80g,6.0,8.94,6.0,8.94,1
Parle Milk Rusk (182G),6.0,8.94,6.0,8.94,1
Turmeric Pouch,9.0,8.91,9.0,8.91,1
Cycle 3 In 1,9.0,8.91,9.0,8.91,1
ORGANIC TATTVA RED CHILLI POWDER 200g,3.0,8.47,3.0,8.47,1
Famous Pure Sun Flower Oil,1.0,7.99,1.0,7.99,1
Laxmi Low Gi Basmati Rice 4Lb,1.0,7.99,1.0,7.99,1
Aara Brown Cane Sugar 1.56Kg,1.0,7.99,1.0,7.99,1
Nupur Henna 500G,1.0,7.99,1.0,7.99,1
Ramdev Kashmiri Chiclli Powder 800g,1.0,7.99,1.0,7.99,1
Aara Chana Dalia 56Oz,1.0,7.99,1.0,7.99,1
Himalaya Soothing Body Lotion,1.0,7.99,1.0,7.99,1
BRAR'S MAKHANI 250G,1.0,7.99,1.0,7.99,1
Society Premim Tea 450gm,1.0,7.99,1.0,7.99,1
KODIYA 4,1.0,7.99,1.0,7.99,1
Colo Chkn Samosa,1.0,7.99,1.0,7.99,1
Vadilal Elaichi Shrikhand,1.0,7.99,1.0,7.99,1
Arya Quinoa Batter 30oz,1.0,7.99,1.0,7.99,1
Vadilal Kesar Pista RAsmalai 454g,1.0,7.99,1.0,7.99,1
Anand Bhogh Boondi Laddu,1.0,7.99,1.0,7.99,1
Organic Tattva Jowar Flour 4 Lb,1.0,7.99,1.0,7.99,1
Deep Coriander Powder 4LB,1.0,7.99,1.0,7.99,1
Haldiram's Phulka Roti 900Gm,1.0,7.99,1.0,7.99,1
          pia beauty ubtan bath powder,1.0,7.99,1.0,7.99,1
Himalayan Paneer momos 15oz,1.0,7.99,1.0,7.99,1
Swetha Medhu Vada,1.0,7.99,1.0,7.99,1
Haldm Original Puff 400G,2.0,7.98,2.0,7.98,1
National Red Chilli Sauce 850G,2.0,7.98,2.0,7.98,1
Haldirams Railway Cutlet 360G,2.0,7.98,2.0,7.98,1
ss ghughra 1pc,2.0,7.98,2.0,7.98,1
Deep Walnuts 7 Oz,2.0,7.98,2.0,7.98,1
natures own whole wheat bread,2.0,7.98,2.0,7.98,1
NATIONAL SAMOSA SAUCE 850G,2.0,7.98,2.0,7.98,1
GZ SEVEN HEAVEN 200G,2.0,7.98,2.0,7.98,1
Periyar Idiyappam Puttupodi brown 1kg,2.0,7.98,2.0,7.98,1
Daily Delight Neyyappam 350g,2.0,7.98,2.0,7.98,1
Vadilal Mooli Paratha 400g,2.0,7.98,2.0,7.98,1
Laxmi Jaggery (Gud) 800Gm,2.0,7.98,2.0,7.98,1
Ragi Idli Rava 908G,2.0,7.98,2.0,7.98,1
Gopuram Thambulam Set Gold,2.0,7.98,2.0,7.98,1
Deep Cumin Powder(200G),2.0,7.98,2.0,7.98,1
Kohinoor Extra Fine rice1Kg,2.0,7.98,2.0,7.98,1
DEEP RED CHILI POWDER 400GM,2.0,7.98,2.0,7.98,1
Wai Wai Rice Noodels,2.0,7.98,2.0,7.98,1
lx.shahi malai kofta 284gm,2.0,7.98,2.0,7.98,1
Gazab Black Cardmom 100G,2.0,7.98,2.0,7.98,1
Dabur Meswak 200G,2.0,7.98,2.0,7.98,1
Indi Bites Dosa Roll 20pic,2.0,7.98,2.0,7.98,1
VEEBA CHEESY PASTA SAUCE,2.0,7.98,2.0,7.98,1
Chettinad Barnyard Millet 2LB,2.0,7.98,2.0,7.98,1
Beetroot Kebab 12 Pieces,2.0,7.98,2.0,7.98,1
DABOUR GINGER + MINT TOOTHPAST,2.0,7.98,2.0,7.98,1
HEM precious Eucalyptus,2.0,7.98,2.0,7.98,1
HEM buena suerte,2.0,7.98,2.0,7.98,1
Chutnefy Hotel Sambar 75G,2.0,7.98,2.0,7.98,1
RICE PANJA # 1,2.0,7.98,2.0,7.98,1
C F Diya (Di-26),2.0,7.98,2.0,7.98,1
Karach Bakery Double Choco Chip,2.0,7.98,2.0,7.98,1
TAMICON CHAT & SNACK 270G,2.0,7.98,2.0,7.98,1
Ramdev Juwar Flour 2Lb,2.0,7.98,2.0,7.98,1
Aara Brown Cane Sugar 800G,2.0,7.98,2.0,7.98,1
lx. Dal makhni 284gm,2.0,7.98,2.0,7.98,1
Mothers All-In-One Chutney 250Gm,2.0,7.98,2.0,7.98,1
Amritsari Kulcha 340G,2.0,7.98,2.0,7.98,1
PH Diya set of 4,2.0,7.98,2.0,7.98,1
Deep Any tine Cheesy Corn Stars,2.0,7.98,2.0,7.98,1
Laxmi Paprika 400Gm,2.0,7.98,2.0,7.98,1
Mothers Panipuri Concentrate 270g,2.0,7.98,2.0,7.98,1
Brass Kapoor Aarti Desing - 5,2.0,7.98,2.0,7.98,1
Swarna MAIDA 4LB,2.0,7.98,2.0,7.98,1
Deep Tandoori Roti 5Pc,2.0,7.98,2.0,7.98,1
CHUTNEFY GREEN CHUTNEY,2.0,7.98,2.0,7.98,1
Vadilal Bullet Naan 320g,2.0,7.98,2.0,7.98,1
Aara Garam Masala 7Oz,2.0,7.98,2.0,7.98,1
Jim Jam Famiy Pack,2.0,7.98,2.0,7.98,1
UDHAIYAM GRAM DAL 2LB,2.0,7.98,2.0,7.98,1
lx. shahi paneer 284gm,2.0,7.98,2.0,7.98,1
lx.paneer makni 284gm,2.0,7.98,2.0,7.98,1
TELUGU KALANDAM 400GM,2.0,7.98,2.0,7.98,1
Balaji Kesar Chandan,2.0,7.98,2.0,7.98,1
Crispy Coconut Cookies 350Gm,2.0,7.98,2.0,7.98,1
Haldiram's Tandoori Naan 400G,2.0,7.98,2.0,7.98,1
DABOUR BS+CO TOOTHPASTE 132G,2.0,7.98,2.0,7.98,1
K P Diya Set Of 4,2.0,7.98,2.0,7.98,1
HEM Egyptian Jasmine,2.0,7.98,2.0,7.98,1
Aara Kolhapuri Jaggery 1Kg,2.0,7.98,2.0,7.98,1
SHINGAR,4.0,7.96,4.0,7.96,1
Cinnamon Pwdr 100G,4.0,7.96,4.0,7.96,1
Parle Choco Roll 125G,4.0,7.96,4.0,7.96,1
premier curd chilli 200g,4.0,7.96,4.0,7.96,1
Telugu Kandi Podi 100g,4.0,7.96,4.0,7.96,1
heritage sugar cubes 200g,4.0,7.96,4.0,7.96,1
Everest 65 Masala 50G,4.0,7.96,4.0,7.96,1
Shana Tuvar,4.0,7.96,4.0,7.96,1
Mdh Bombay Biriyani 100Gm,4.0,7.96,4.0,7.96,1
Kathiyawadi Coriander Chili,4.0,7.96,4.0,7.96,1
Balaji Abil,4.0,7.96,4.0,7.96,1
Mtr Rice Idli - 200Gm,4.0,7.96,4.0,7.96,1
viswas pearl onion,4.0,7.96,4.0,7.96,1
heritage chandanam agarbatti,4.0,7.96,4.0,7.96,1
turmeric fingers 100gms,4.0,7.96,4.0,7.96,1
Vadilal Alphonso Mango 100ml,4.0,7.96,4.0,7.96,1
Chicken 65 Masala,4.0,7.96,4.0,7.96,1
Haldiram Cookie Heaven Coconut,4.0,7.96,4.0,7.96,1
Knorr Chinese Chilli,4.0,7.96,4.0,7.96,1
Mothers Red Chilli Sauce 200g,4.0,7.96,4.0,7.96,1
Copper Tarbhana # 4,4.0,7.96,4.0,7.96,1
Priya Fish Fry Masala 50G,4.0,7.96,4.0,7.96,1
Shan Vanila Powder 200G,4.0,7.96,4.0,7.96,1
Tarbhana No 3,4.0,7.96,4.0,7.96,1
Hamam 100G,4.0,7.96,4.0,7.96,1
Aachi Country Chicken Biryani 45G,4.0,7.96,4.0,7.96,1
cycle lia jasmine 90g,4.0,7.96,4.0,7.96,1
Parle Kreams Gold Elaichi 266.88g,4.0,7.96,4.0,7.96,1
BALAJI WAFERS 150G,4.0,7.96,4.0,7.96,1
Vatika Alomond 100G,4.0,7.96,4.0,7.96,1
Himalaya Neem & Turmeric Soap,4.0,7.96,4.0,7.96,1
Balaji Crunchem Cream Onion,4.0,7.96,4.0,7.96,1
Parle Kreams Strawberry266.88G,4.0,7.96,4.0,7.96,1
Aara Edible Gum 3.5Oz,4.0,7.96,4.0,7.96,1
Shan Murgh Cholay Mix 50G,4.0,7.96,4.0,7.96,1
Priya Andhra Fish Masala50G,4.0,7.96,4.0,7.96,1
Shan Pav Bhaji Mix 100G,4.0,7.96,4.0,7.96,1
Gazab Red Food Color 50Gm,4.0,7.96,4.0,7.96,1
Shan Meat Tenderizer 40Gm,4.0,7.96,4.0,7.96,1
Goya Blackeye Peas Can 15Oz,4.0,7.96,4.0,7.96,1
Telugu Nuvvula Karam Podi 100g,4.0,7.96,4.0,7.96,1
Gazab Basil Seed Pineapple,4.0,7.96,4.0,7.96,1
Mdh Karahi Chicken 100Gm,4.0,7.96,4.0,7.96,1
Mdh Rajmah Masala 100Gm,4.0,7.96,4.0,7.96,1
GAZAB GANJAL,4.0,7.96,4.0,7.96,1
Gazab Vanilla,4.0,7.96,4.0,7.96,1
Shan Dal Makhani 100g,4.0,7.96,4.0,7.96,1
MDH SPICE CURRY MIX 60G,4.0,7.96,4.0,7.96,1
GM Rangoli Colour,4.0,7.96,4.0,7.96,1
SWAGAT DRY CURRY LEAVES 50G,4.0,7.96,4.0,7.96,1
Aachi Butter Chicken Masala,4.0,7.96,4.0,7.96,1
Gz Sabudhana 200G,4.0,7.96,4.0,7.96,1
Britannia Hazelnut Wafers 80G,5.0,7.95,5.0,7.95,1
Britannia Treat Choco100Gm,8.0,7.92,8.0,7.92,1
Jav,8.0,7.92,8.0,7.92,1
Badshah Kasuri Methi 25Gm,8.0,7.92,8.0,7.92,1
Equate Tounge cleaner 2,4.0,7.87,4.0,7.87,1
Deep Delhi Samosa,1.0,7.59,1.0,7.59,1
Waiwai Chicken Pizza 75g,11.0,7.59,11.0,7.59,1
Baby Guava / Lb,2.53,7.56,2.53,7.56,1
Shan Mixed Pickle 330G,3.0,7.47,3.0,7.47,1
Periyar Meat masala 200gm,3.0,7.47,3.0,7.47,1
Telugu Mint Pickle 300G,3.0,7.47,3.0,7.47,1
Periyar masala Chicken Fry Mix 200gm,3.0,7.47,3.0,7.47,1
Telugu Mixed Veg Pickle,3.0,7.47,3.0,7.47,1
REFRESH MANGO 1LT,3.0,7.47,3.0,7.47,1
Reddy's Methi Powder 200gm,3.0,7.47,3.0,7.47,1
Shan Kheer Mix 150G,3.0,7.47,3.0,7.47,1
Mothers Kerala Chicken roast 100g,5.0,7.45,5.0,7.45,1
Mothers chicken chettinad 80g,5.0,7.45,5.0,7.45,1
Mothers Chicken Moghalai 80gm,5.0,7.45,5.0,7.45,1
Deep Red Baby Onion - 12 Oz,4.0,7.16,4.0,7.16,1
In Bandar Laddu,1.0,6.99,1.0,6.99,1
Taaza malai sandwich 341gm,1.0,6.99,1.0,6.99,1
Nanak Gajar Halwa 400Gm,1.0,6.99,1.0,6.99,1
Roti fluffer Square,1.0,6.99,1.0,6.99,1
GAZAB WALNUT OIL 100ML,1.0,6.99,1.0,6.99,1
Black Seed Oil 300Ml,1.0,6.99,1.0,6.99,1
Aara Chilli Powder 400G,1.0,6.99,1.0,6.99,1
Wooden Jar,1.0,6.99,1.0,6.99,1
Taaza champakali 341gm,1.0,6.99,1.0,6.99,1
Himalaya Chavanaprasha 500g,1.0,6.99,1.0,6.99,1
Lemon Shampoo 400ML,1.0,6.99,1.0,6.99,1
Vadilal Butterstoch Srikhand 454g,1.0,6.99,1.0,6.99,1
HORLICKS 500G,1.0,6.99,1.0,6.99,1
Laxmi Punjabi Samosas,1.0,6.99,1.0,6.99,1
Desi Whole Milk Yogurt-4lb,1.0,6.99,1.0,6.99,1
Aara Bw Chori 4Lb,1.0,6.99,1.0,6.99,1
Vatika Black seed Complete Care Conditioner 400ml,1.0,6.99,1.0,6.99,1
Himalaya Neem Scrub 150Ml,1.0,6.99,1.0,6.99,1
Kohinoor Extra Long Jar 2Lb,1.0,6.99,1.0,6.99,1
Vatika Mustard 300Ml,1.0,6.99,1.0,6.99,1
Organic TATTVA BESAN/3LB,1.0,6.99,1.0,6.99,1
Telugu Poha Thick 4Lb,1.0,6.99,1.0,6.99,1
Ashoka Punjabi Samosa 8Pc,1.0,6.99,1.0,6.99,1
priyems millet batter 800gm,1.0,6.99,1.0,6.99,1
Maggie Tomato Ketchup 1kg,1.0,6.99,1.0,6.99,1
Vadilal Mango Shrikhand 454g,1.0,6.99,1.0,6.99,1
Deep Blanched silvered almonds 14oz,1.0,6.99,1.0,6.99,1
Manna Proso Millet,1.0,6.99,1.0,6.99,1
Kabab Chini 100G,1.0,6.99,1.0,6.99,1
Lord Ganesh,1.0,6.99,1.0,6.99,1
priyems ragi batter 800gm,1.0,6.99,1.0,6.99,1
balaji cashew pieces,1.0,6.99,1.0,6.99,1
Eastern Round Chilli 400Gm,1.0,6.99,1.0,6.99,1
FALAK EXTREME BASMATI RICE 4LB,1.0,6.99,1.0,6.99,1
Kaiser Tandoori Chicken 12pcs,1.0,6.99,1.0,6.99,1
Aara Urad Whole 4Lb,1.0,6.99,1.0,6.99,1
VADILAL MIX VEG KULCHA 100GM,2.0,6.98,2.0,6.98,1
MR Mango Chilli Pk 500g,2.0,6.98,2.0,6.98,1
Vadilal Mango Sandwich 300ml,2.0,6.98,2.0,6.98,1
MR Pickle Maharastra Mango 500,2.0,6.98,2.0,6.98,1
MR SWEET & SOUR LIME PICKLE,2.0,6.98,2.0,6.98,1
Ramdev Cracked wheat Coarse 4lbs,2.0,6.98,2.0,6.98,1
MR Pickle Green Chilli 500g,2.0,6.98,2.0,6.98,1
Reshma Mehandi Cone,2.0,6.98,2.0,6.98,1
Gazab Mixed Fruit Drink 2 Lite,2.0,6.98,2.0,6.98,1
Tuong Chili Garlic Sauce 8Oz,2.0,6.98,2.0,6.98,1
Vadilal Paratha Home Style 325g,2.0,6.98,2.0,6.98,1
Bambino Plain Vermicelli 1Kg,2.0,6.98,2.0,6.98,1
Gits Khatta Dhokla 500 G,2.0,6.98,2.0,6.98,1
Dabur Real 100% Apple Juice 1lt,2.0,6.98,2.0,6.98,1
Vadilal Chocolate Sandwich 300ml,2.0,6.98,2.0,6.98,1
Ramdev kallonji 100g,4.0,6.96,4.0,6.96,1
Nestle Carnation Eva Milk 5Oz,9.0,6.93,9.0,6.93,1
BRITANNIA GOL MALL 110G,7.0,6.93,7.0,6.93,1
Woodward's Gripe Wate 130Ml,3.0,6.87,3.0,6.87,1
Parle Kreams Strawberry 66.72g,14.0,6.86,14.0,6.86,1
Janaki's Molagapodi 100 Gms,4.0,6.76,4.0,6.76,1
Tandeljo(Amaranth) Red / Lb,1.11,6.65,1.11,6.65,1
Deep Kati Roll Tawa Panner,2.0,6.58,2.0,6.58,1
Mtr Pav Bhaji Masala 100G,2.0,6.58,2.0,6.58,1
Roti Fluffer Round,1.0,6.49,1.0,6.49,1
Dabur Vatika Argan Oil 300Ml,1.0,6.49,1.0,6.49,1
happy leaf organic jowar flour 3.5lbs,1.0,6.49,1.0,6.49,1
Dabur Amla Gold Hair Oil 300Ml,1.0,6.49,1.0,6.49,1
Gazab Bay Leaves,5.0,6.45,5.0,6.45,1
Adani Sabudana 200gms,5.0,6.45,5.0,6.45,1
Goat Heart,1.83,6.38,1.83,6.38,1
Eggplant Chinese/Lb,3.19,6.34,3.19,6.34,1
CUT PAPAPYA,1.02,6.11,1.02,6.11,1
Lollipops,12.0,6.0,12.0,6.0,1
Tetley Tea Bags 80-100 Bags,1.0,5.99,1.0,5.99,1
Aara Desi Bura Sugar 4Lbs,1.0,5.99,1.0,5.99,1
Original Pg Tips 80ct,1.0,5.99,1.0,5.99,1
Aara Sooji Coarse,1.0,5.99,1.0,5.99,1
MEENA PATA,1.0,5.99,1.0,5.99,1
Brass Bell Nandi - 3,1.0,5.99,1.0,5.99,1
